Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Tricky Target,Passive,No,Any vehicle the character pilots counts as having a silhouette one lower than normal when being attacked to a minimum of 0.,https://star-wars-rpg-ffg.fandom.com/wiki/Tricky_Target_talent,True,False,Tricky Target-A,False,False
True Aim,Active (Maneuver),Yes,"Once per round, before the character makes a ranged attack, they may perform a True Aim maneuver. By performing this maneuver, the character gains all the benefits for aiming and also upgrades their attack roll once per rank of True Aim.",https://star-wars-rpg-ffg.fandom.com/wiki/True_Aim_talent,True,False,True Aim-A,True,False
Trust No One,"Active (Incidental, Out of Turn)",No,"When targeted by a social check, the character may choose to suffer one strain to add an automatic failure result to the check. If the check fails with a despair, the character may immediately perform a maneuver as an out-of-turn incidental.",https://star-wars-rpg-ffg.fandom.com/wiki/Trust_No_One_talent,True,False,Trust No One-A,False,False
Trust The Captain,Active (Action),Yes,"The character may take the Trust the Captain action by making a Hard Leadership check. If successful, for the remainder of the encounter all allies within short range increase their ranks in Discipline by an amount equal to the character's ranks in Trust the Captain.",https://star-wars-rpg-ffg.fandom.com/wiki/Trust_The_Captain_talent,True,False,Trust The Captain-A,True,False
Tuned Maneuvering Thrusters,Passive,Yes,The character increases the handling of their Signature Vehicles by 1 per rank of Tuned Maneuvering Thrusters.,https://star-wars-rpg-ffg.fandom.com/wiki/Tuned_Maneuvering_Thrusters_talent,True,False,Tuned Maneuvering Thrusters-A,True,False
Twisted Words,"Active (Incidental, Out of Turn)",No,"When the character is targeted by a social check, the character may spend a despair or two threats and suffer 1 strain as an incidental to inflict a number of strain equal to their ranks in Coercion on the character who made the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Twisted_Words_talent,True,False,Twisted Words-A,False,False
Unarmed Parry,Passive,No,"The character may perform the Parry incidental while unarmed. When the character performs the Parry incidental while unarmed, reduce the strain they suffer from the Parry incidental by one, to a minimum of 1.",https://star-wars-rpg-ffg.fandom.com/wiki/Unarmed_Parry_talent,True,False,Unarmed Parry-A,False,False
Uncanny Reactions,Passive,Yes,Force Talent. The character adds a boost dice per rank of Uncanny Reactions to their Vigilance checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Uncanny_Reactions_talent,True,False,Uncanny Reactions-A,True,False
Uncanny Senses,Passive,Yes,Force Talent. The character adds a boost dice per rank of Uncanny Senses to their Perception checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Uncanny_Senses_talent,True,False,Uncanny Senses-A,True,False
Unexpected Demise,Signature Ability,Signature Ability,This specialisation for the Seeker career allows the individual to instantly incapacitate a target in combat.,https://star-wars-rpg-ffg.fandom.com/wiki/Unexpected_Demise,True,False,Unexpected Demise-A,False,True
Unity Assault,Active (Maneuver),No,"Force talent. Whenever the character misses an opponent with a combat check and generates a triumph or three advantage results, the character may spend this to perform a Force power action that targets one or more allies as a maneuver (they must still be able to perform maneuvers, and may not perform more than two maneuvers in a turn).",https://star-wars-rpg-ffg.fandom.com/wiki/Unity_Assault_talent,True,True,Unity Assault-A,False,False
Unmatched Authority,Signature Ability,Signature Ability,"A true commander will use this signature ability in order to take full command of their troops and manage them perfectly through battle, without having their authority questioned.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Authority,True,False,Unmatched Authority-A,False,True
Unmatched Calibration,Signature Ability,Signature Ability,"A technician may benefit from Unmatched Calibration, allowing them to perhaps realise something critical in the process of their work at the right time to achieve success or avoid catastrophe.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Calibration,True,False,Unmatched Calibration-A,False,True
Unmatched Courage,Signature Ability,Signature Ability,"This signature ability allows the soldier to push through battle, despite all odds and injuries - being too tough to die.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Courage,True,False,Unmatched Courage-A,False,True
Unmatched Destiny,Signature Ability,Signature Ability,This signature ability allows a Mystic to improve their force power checks significantly.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Destiny,True,False,Unmatched Destiny-A,False,True
Unmatched Devastation,Signature Ability,Signature Ability,A Bounty Hunter is capable of devastating a target to the point of disintegration thanks to their arsenal and prowess with weaponry.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Devastation,True,False,Unmatched Devastation-A,False,True
Unmatched Expertise,Signature Ability,Signature Ability,"A colonist is often an educated individual, much more capable than they appear and sometimes completes tasks much more easily than others.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Expertise,True,False,Unmatched Expertise-A,False,True
Unmatched Ferocity,Signature Ability,Signature Ability,Unmatched Ferocity allows the Warrior to launch a repeated set of attacks against a single target to absolutely destroy them.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Ferocity,True,False,Unmatched Ferocity-A,False,True
Unmatched Fortune,Signature Ability,Signature Ability,"It often appears that those taking the most risks are often the most lucky, and this signature ability for the smuggler follows in that vein, allowing one to make sure their luck strikes true.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Fortune,True,False,Unmatched Fortune-A,False,True
Unmatched Heroism,Signature Ability,Signature Ability,This signature ability is the very representation of the Guardian's purpose. Putting others' safety before his own.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Heroism,True,False,Unmatched Heroism-A,False,True
Unmatched Ingenuity,Signature Ability,Signature Ability,The best engineers can use this signature ability to make small modifications and jury-rig their equipment on the fly for what they need it to do.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Ingenuity,True,False,Unmatched Ingenuity-A,False,True
Unmatched Insight,Signature Ability,Signature Ability,Due to a diplomat's frequent interactions with an array of people and cultures allows for an unmatched insight which will prove useful in any social encounter.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Insight,True,False,Unmatched Insight-A,False,True
Unmatched Mobility,Signature Ability,Signature Ability,"An explorer survives in the wild due to their ability to keep out of harms way and speed. This signature ability exemplifies this, allowing an explorer to suddenly move about and do a lot more in a short period of time.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Mobility,True,False,Unmatched Mobility-A,False,True
Unmatched Negotiation,Signature Ability,Signature Ability,This signature ability significantly improves the likelihood of success of any form of negotiation checks for a limited time.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Negotiation,True,False,Unmatched Negotiation-A,False,True
Unmatched Protection,Signature Ability,Signature Ability,"Experiencing constant fighting, the Hired Gun has no rival in the amount of punishment they can take - even appearing invincible to many foes thanks to this signature ability.",https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Protection,True,False,Unmatched Protection-A,False,True
Unmatched Pursuit,Signature Ability,Signature Ability,This specialisation allows an individual to keep on track of an otherwise elusive opponent.,https://star-wars-rpg-ffg.fandom.com/wiki/Unmatched_Pursuit,True,False,Unmatched Pursuit-A,False,True
